"ST","state_name","state_abbr","num_obs"
1,"Alabama","AL",91811
2,"Alaska","AK",13907
4,"Arizona","AZ",130527
5,"Arkansas","AR",58259
6,"California","CA",797417
8,"Colorado","CO",124220
9,"Connecticut","CT",83118
10,"Delaware","DE",19727
11,"District of Columbia","DC",40401
12,"Florida","FL",396486
13,"Georgia","GA",201922
15,"Hawaii","HI",31239
16,"Idaho","ID",31472
17,"Illinois","IL",285755
18,"Indiana","IN",144118
19,"Iowa","IA",76423
20,"Kansas","KS",66985
21,"Kentucky","KY",91411
22,"Louisiana","LA",90958
23,"Maine","ME",28351
24,"Maryland","MD",128283
25,"Massachusetts","MA",169104
26,"Michigan","MI",204220
27,"Minnesota","MN",133200
28,"Mississippi","MS",52853
29,"Missouri","MO",134433
30,"Montana","MT",21865
31,"Nebraska","NE",46881
32,"Nevada","NV",58331
33,"New Hampshire","NH",31730
34,"New Jersey","NJ",185915
35,"New Mexico","NM",37786
36,"New York","NY",454293
37,"North Carolina","NC",205227
38,"North Dakota","ND",20546
39,"Ohio","OH",259584
40,"Oklahoma","OK",75052
41,"Oregon","OR",87486
42,"Pennslyvania","PA",285251
44,"Rhode Island","RI",23646
45,"South Carolina","SC",96611
46,"South Dakota","SD",20574
47,"Tennessee","TN",138827
48,"Texas","TX",551792
49,"Utah","UT",62608
50,"Vermont","VT",15828
51,"Virginia","VA",185358
53,"Washington","WA",152181
54,"West Virginia","WV",34918
55,"Wisconsin","WI",136044
56,"Wyoming","WY",13853
